ID,CATALOG,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE_LOCALITY,LATITUDE,LONGITUDE,COLLECTOR,COLLECTING_DATE_FROM,Arrived_AMNH,SEX,AGE,PREPS,TRAP,DEPREDATION_METHOD,LID,CID,BID
1,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
2,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
3,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
4,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
5,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
6,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
7,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
8,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
9,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
10,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,1
11,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,Cervical Dislocation,,,2
12,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,Cervical Dislocation,,,2
13,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
14,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
15,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
16,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
17,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
18,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
19,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
20,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
21,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
22,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
23,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
24,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
25,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,3
26,JMZ,Sturnus vulgaris,USA,NY,Queens County,JFK Airport,,,Melissa Malloy,2014-10-31,2014-12-19,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
27,JMZ,Sturnus vulgaris,USA,NY,Queens County,JFK Airport,,,Melissa Malloy,2014-10-31,2014-12-19,,Adult,Whole Frozen,V-Top,Found dead on the road,,,5
28,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
29,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
30,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
31,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
32,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
33,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
34,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
35,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
36,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
37,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
38,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
39,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4
40,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,4