ID,CATALOG,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE_LOCALITY,LATITUDE,LONGITUDE,COLLECTOR(S),COLLECTING_DATE_FROM,Arrived_AMNH,SEX,AGE,PREPS,TRAP,DEPREDATION_METHOD,LID,CID,BID
1,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
2,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
3,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
4,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
5,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
6,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
7,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
8,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
9,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
10,JMZ,Sturnus vulgaris,USA,NY,Westchester,Westchester County Airport,,,Derek Colbert,2014-09-12,2014-11-19,,Juvenille,Whole frozen,V-Top,Cervical Dislocation,,,
11,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,Cervical Dislocation,,,
12,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,Cervical Dislocation,,,
13,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
14,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
15,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
16,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
17,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
18,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
19,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
20,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
21,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
22,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
23,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
24,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
25,JMZ,Sturnus vulgaris,USA,CA,Los Angeles County,LAX,,,Shannon Chandler,2014-11-01,2014-12-16,,Adult,Whole frozen,Fly-in-trap,CO2?,,,
26,JMZ,Sturnus vulgaris,USA,NY,Queens County,JFK Airport,,,Melissa Malloy,2014-10-31,2014-12-19,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
27,JMZ,Sturnus vulgaris,USA,NY,Queens County,JFK Airport,,,Melissa Malloy,2014-10-31,2014-12-19,,Adult,Whole Frozen,V-Top,Found dead on the road,,,
28,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
29,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
30,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
31,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
32,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
33,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
34,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
35,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
36,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
37,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
38,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
39,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
40,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,